20:31:26.237 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:31:26.574 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:31:26.791 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
20:31:26.815 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b827796, org.springframework.security.web.context.SecurityContextPersistenceFilter@6920fa35, org.springframework.security.web.header.HeaderWriterFilter@670aac24, org.springframework.security.web.authentication.logout.LogoutFilter@2b9bbaa8, com.kjj.security.JwtAuthenticationFilter@18ff753c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3da30ce5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@367fbb28, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27c827ec, org.springframework.security.web.session.SessionManagementFilter@52fed5b7, org.springframework.security.web.access.ExceptionTranslationFilter@29c76d75, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68b3de47]
20:31:27.145 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:31:27.157 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:31:27.167 [main] INFO  com.kjj.Application - Started Application in 3.119 seconds (JVM running for 3.675)
20:31:30.454 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:31:30.455 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:31:30.456 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
